"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 15 04:19:28 CDT 2025","Tue Jul 15 04:19:28 CDT 2025","199","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminrouteservice_adminroute_1","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminrouteservice_adminroute_1","test_POST_1_9","test_POST_1_9","🎯 **Testing**: ts-admin-route-service
📡 **Method**: POST
🔗 **Path**: /api/v1/adminrouteservice/adminroute
✅ **Expected**: 200
🔗 **Dependencies**: INDEPENDENT (can execute regardless of other step results)"
"broken","Tue Jul 15 04:19:29 CDT 2025","Tue Jul 15 04:19:30 CDT 2025","194","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminrouteservice_adminroute_11","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminrouteservice_adminroute_11","test_POST_11_6","test_POST_11_6","🎯 **Testing**: ts-admin-route-service
📡 **Method**: POST
🔗 **Path**: /api/v1/adminrouteservice/adminroute
✅ **Expected**: 200
🔗 **Dependencies**: INDEPENDENT (can execute regardless of other step results)"
"passed","Tue Jul 15 04:19:24 CDT 2025","Tue Jul 15 04:19:24 CDT 2025","189","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminbasicservice_adminbasic_prices_31","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminbasicservice_adminbasic_prices_31","test_POST_31_9","test_POST_31_9","Microservice test scenario with 2 steps. Generated using two-stage LLM + semantic expansion approach."
"broken","Tue Jul 15 04:19:29 CDT 2025","Tue Jul 15 04:19:29 CDT 2025","184","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminrouteservice_adminroute_11","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminrouteservice_adminroute_11","test_POST_11_2","test_POST_11_2","🎯 **Testing**: ts-admin-route-service
📡 **Method**: POST
🔗 **Path**: /api/v1/adminrouteservice/adminroute
✅ **Expected**: 200
🔗 **Dependencies**: INDEPENDENT (can execute regardless of other step results)"
"broken","Tue Jul 15 04:19:28 CDT 2025","Tue Jul 15 04:19:28 CDT 2025","188","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminrouteservice_adminroute_1","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminrouteservice_adminroute_1","test_POST_1_10","test_POST_1_10","🎯 **Testing**: ts-admin-route-service
📡 **Method**: POST
🔗 **Path**: /api/v1/adminrouteservice/adminroute
✅ **Expected**: 200
🔗 **Dependencies**: INDEPENDENT (can execute regardless of other step results)"
"broken","Tue Jul 15 04:19:27 CDT 2025","Tue Jul 15 04:19:27 CDT 2025","192","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminrouteservice_adminroute_1","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminrouteservice_adminroute_1","test_POST_1_4","test_POST_1_4","🎯 **Testing**: ts-admin-route-service
📡 **Method**: POST
🔗 **Path**: /api/v1/adminrouteservice/adminroute
✅ **Expected**: 200
🔗 **Dependencies**: INDEPENDENT (can execute regardless of other step results)"
"passed","Tue Jul 15 04:19:26 CDT 2025","Tue Jul 15 04:19:27 CDT 2025","234","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminorderservice_adminorder_21","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminorderservice_adminorder_21","test_POST_21_10","test_POST_21_10","Microservice test scenario with 2 steps. Generated using two-stage LLM + semantic expansion approach."
"broken","Tue Jul 15 04:19:28 CDT 2025","Tue Jul 15 04:19:28 CDT 2025","184","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminrouteservice_adminroute_1","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminrouteservice_adminroute_1","test_POST_1_7","test_POST_1_7","🎯 **Testing**: ts-admin-route-service
📡 **Method**: POST
🔗 **Path**: /api/v1/adminrouteservice/adminroute
✅ **Expected**: 200
🔗 **Dependencies**: INDEPENDENT (can execute regardless of other step results)"
"passed","Tue Jul 15 04:19:23 CDT 2025","Tue Jul 15 04:19:23 CDT 2025","265","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminbasicservice_adminbasic_prices_31","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminbasicservice_adminbasic_prices_31","test_POST_31_3","test_POST_31_3","Microservice test scenario with 2 steps. Generated using two-stage LLM + semantic expansion approach."
"passed","Tue Jul 15 04:19:26 CDT 2025","Tue Jul 15 04:19:26 CDT 2025","195","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminorderservice_adminorder_21","","trainticket_twostage_test.TrainTicketTwoStageTest_1752569887665.POST_api_v1_adminorderservice_adminorder_21","test_POST_21_9","test_POST_21_9","Microservice test scenario with 2 steps. Generated using two-stage LLM + semantic expansion approach."
