http_method,path_template,parameter,location,total,valid,invalid,scr
POST,/api/v1/adminorderservice/adminorder,accountId,body,20,14,6,0.7000
POST,/api/v1/adminorderservice/adminorder,boughtDate,body,20,20,0,1.0000
POST,/api/v1/adminorderservice/adminorder,coachNumber,body,20,19,1,0.9500
POST,/api/v1/adminorderservice/adminorder,contactsDocumentNumber,body,20,4,16,0.2000
POST,/api/v1/adminorderservice/adminorder,contactsName,body,20,20,0,1.0000
POST,/api/v1/adminorderservice/adminorder,differenceMoney,body,20,0,20,0.0000
POST,/api/v1/adminorderservice/adminorder,documentType,body,20,20,0,1.0000
POST,/api/v1/adminorderservice/adminorder,from,body,20,20,0,1.0000
POST,/api/v1/adminorderservice/adminorder,id,body,20,20,0,1.0000
POST,/api/v1/adminorderservice/adminorder,price,body,20,5,15,0.2500
POST,/api/v1/adminorderservice/adminorder,seatClass,body,20,13,7,0.6500
POST,/api/v1/adminorderservice/adminorder,seatNumber,body,20,20,0,1.0000
POST,/api/v1/adminorderservice/adminorder,status,body,20,18,2,0.9000
POST,/api/v1/adminorderservice/adminorder,to,body,20,20,0,1.0000
POST,/api/v1/adminorderservice/adminorder,trainNumber,body,20,20,0,1.0000
POST,/api/v1/adminorderservice/adminorder,travelDate,body,20,20,0,1.0000
POST,/api/v1/adminorderservice/adminorder,travelTime,body,20,20,0,1.0000
POST,/api/v1/adminrouteservice/adminroute,distanceList,body,19,0,19,0.0000
POST,/api/v1/adminrouteservice/adminroute,endStation,body,19,19,0,1.0000
POST,/api/v1/adminrouteservice/adminroute,id,body,19,19,0,1.0000
POST,/api/v1/adminrouteservice/adminroute,loginId,body,19,19,0,1.0000
POST,/api/v1/adminrouteservice/adminroute,startStation,body,19,19,0,1.0000
POST,/api/v1/adminrouteservice/adminroute,stationList,body,19,19,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,boughtDateEnd,body,18,18,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,boughtDateStart,body,18,18,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,enableBoughtDateQuery,body,18,18,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,enableStateQuery,body,18,18,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,enableTravelDateQuery,body,18,18,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,loginId,body,18,18,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,state,body,18,18,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,travelDateEnd,body,18,18,0,1.0000
POST,/api/v1/orderOtherService/orderOther/refresh,travelDateStart,body,18,18,0,1.0000
POST,/api/v1/travel2service/trips/left,departureTime,body,20,20,0,1.0000
POST,/api/v1/travel2service/trips/left,endPlace,body,20,20,0,1.0000
POST,/api/v1/travel2service/trips/left,startPlace,body,20,20,0,1.0000
POST,/api/v1/travelplanservice/travelPlan/cheapest,departureTime,body,20,20,0,1.0000
POST,/api/v1/travelplanservice/travelPlan/cheapest,endPlace,body,20,20,0,1.0000
POST,/api/v1/travelplanservice/travelPlan/cheapest,startPlace,body,20,20,0,1.0000
POST,/api/v1/travelservice/trips/left,departureTime,body,20,20,0,1.0000
POST,/api/v1/travelservice/trips/left,endPlace,body,20,20,0,1.0000
POST,/api/v1/travelservice/trips/left,startPlace,body,20,20,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/stations,id,body,1,1,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/stations,name,body,1,1,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/stations,stayTime,body,1,1,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/trains,averageSpeed,body,22,22,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/trains,confortClass,body,22,22,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/trains,economyClass,body,22,22,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/trains,id,body,22,22,0,1.0000
PUT,/api/v1/adminbasicservice/adminbasic/trains,name,body,22,22,0,1.0000
PUT,/api/v1/consignservice/consigns,accountId,body,20,0,20,0.0000
PUT,/api/v1/consignservice/consigns,consignee,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,from,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,handleDate,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,id,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,orderId,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,phone,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,targetDate,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,to,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,weight,body,20,20,0,1.0000
PUT,/api/v1/consignservice/consigns,within,body,20,20,0,1.0000
