parameter,total,hallucinated,abstained,lhr
accountId,6,0,6,0.0000
averageSpeed,4,0,4,0.0000
boughtDate,2,0,2,0.0000
boughtDateEnd,4,0,4,0.0000
boughtDateStart,4,0,4,0.0000
coachNumber,4,0,4,0.0000
confortClass,6,0,6,0.0000
consignee,3,0,3,0.0000
contactsDocumentNumber,2,0,2,0.0000
contactsName,4,0,4,0.0000
departureTime,6,0,6,0.0000
differenceMoney,2,0,2,0.0000
distanceList,1,0,1,0.0000
documentType,3,0,3,0.0000
economyClass,6,0,6,0.0000
enableBoughtDateQuery,3,0,3,0.0000
enableStateQuery,3,0,3,0.0000
enableTravelDateQuery,3,0,3,0.0000
endPlace,6,0,6,0.0000
endStation,3,0,3,0.0000
from,4,0,4,0.0000
handleDate,3,0,3,0.0000
id,4,0,4,0.0000
loginId,2,0,2,0.0000
name,2,0,2,0.0000
orderId,3,0,3,0.0000
phone,1,0,1,0.0000
price,3,0,3,0.0000
seatClass,3,0,3,0.0000
seatNumber,3,0,3,0.0000
startPlace,6,0,6,0.0000
startStation,3,0,3,0.0000
state,4,0,4,0.0000
stationList,3,0,3,0.0000
status,3,0,3,0.0000
stayTime,5,0,5,0.0000
targetDate,3,0,3,0.0000
to,6,0,6,0.0000
trainNumber,4,0,4,0.0000
travelDate,2,0,2,0.0000
travelDateEnd,4,0,4,0.0000
travelDateStart,4,0,4,0.0000
travelTime,4,0,4,0.0000
weight,3,0,3,0.0000
within,2,0,2,0.0000
