scenario,test_method,step_idx,http_method,path,parameter,value,realistic,source
Flow_Scenario_1983,test_positive_flow_S1983_v1,2,POST,/api/v1/travelplanservice/travelPlan/cheapest,endPlace,en2396,false,unknown
Flow_Scenario_1983,test_positive_flow_S1983_v1,2,POST,/api/v1/travelplanservice/travelPlan/cheapest,startPlace,sta4603,false,unknown
Flow_Scenario_1983,test_positive_flow_S1983_v2,2,POST,/api/v1/travelplanservice/travelPlan/cheapest,endPlace,test935,false,unknown
Flow_Scenario_1983,test_positive_flow_S1983_v2,2,POST,/api/v1/travelplanservice/travelPlan/cheapest,startPlace,test838,false,unknown
Flow_Scenario_1983,test_positive_flow_S1983_v3,2,POST,/api/v1/travelplanservice/travelPlan/cheapest,endPlace,test935,false,unknown
Flow_Scenario_1983,test_positive_flow_S1983_v3,2,POST,/api/v1/travelplanservice/travelPlan/cheapest,startPlace,sta4603,false,unknown
Flow_Scenario_1983,test_positive_flow_S1983_v4,2,POST,/api/v1/travelplanservice/travelPlan/cheapest,endPlace,test935,false,unknown
Flow_Scenario_1983,test_positive_flow_S1983_v4,2,POST,/api/v1/travelplanservice/travelPlan/cheapest,startPlace,test838,false,unknown
Flow_Scenario_1983,test_positive_flow_S1983_v5,2,POST,/api/v1/travelplanservice/travelPlan/cheapest,endPlace,en2396,false,unknown
Flow_Scenario_1983,test_positive_flow_S1983_v5,2,POST,/api/v1/travelplanservice/travelPlan/cheapest,startPlace,test838,false,unknown
Flow_Scenario_1983,test_positive_flow_S1983_v7,2,POST,/api/v1/travelplanservice/travelPlan/cheapest,endPlace,test935,false,unknown
Flow_Scenario_1983,test_positive_flow_S1983_v7,2,POST,/api/v1/travelplanservice/travelPlan/cheapest,startPlace,sta4603,false,unknown
Flow_Scenario_1983,test_positive_flow_S1983_v13,2,POST,/api/v1/travelplanservice/travelPlan/cheapest,endPlace,en2396,false,unknown
Flow_Scenario_1983,test_positive_flow_S1983_v13,2,POST,/api/v1/travelplanservice/travelPlan/cheapest,startPlace,test838,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v1,2,POST,/api/v1/adminrouteservice/adminroute,endStation,test94,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v1,2,POST,/api/v1/adminrouteservice/adminroute,startStation,test409,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v1,2,POST,/api/v1/adminrouteservice/adminroute,stationList,test739,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v2,2,POST,/api/v1/adminrouteservice/adminroute,endStation,test94,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v2,2,POST,/api/v1/adminrouteservice/adminroute,startStation,star2606,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v2,2,POST,/api/v1/adminrouteservice/adminroute,stationList,test739,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v3,2,POST,/api/v1/adminrouteservice/adminroute,endStation,end1015,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v3,2,POST,/api/v1/adminrouteservice/adminroute,startStation,test409,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v3,2,POST,/api/v1/adminrouteservice/adminroute,stationList,test739,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v4,2,POST,/api/v1/adminrouteservice/adminroute,endStation,test94,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v4,2,POST,/api/v1/adminrouteservice/adminroute,startStation,test409,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v4,2,POST,/api/v1/adminrouteservice/adminroute,stationList,sta3762,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v5,2,POST,/api/v1/adminrouteservice/adminroute,endStation,test94,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v5,2,POST,/api/v1/adminrouteservice/adminroute,startStation,test409,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v5,2,POST,/api/v1/adminrouteservice/adminroute,stationList,test739,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v6,2,POST,/api/v1/adminrouteservice/adminroute,endStation,end1015,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v6,2,POST,/api/v1/adminrouteservice/adminroute,startStation,star2606,false,unknown
Flow_Scenario_295,test_positive_flow_S295_v6,2,POST,/api/v1/adminrouteservice/adminroute,stationList,test739,false,unknown
