http_method,path,parameter,location,total_values,distinct_values,shannon_bits,shannon_normalised,simpson_diversity
POST,/api/v1/adminbasicservice/adminbasic/stations,id,body,2,2,1.0000,1.0000,0.5000
POST,/api/v1/adminbasicservice/adminbasic/stations,name,body,2,1,0.0000,0.0000,0.0000
POST,/api/v1/adminbasicservice/adminbasic/stations,stayTime,body,2,1,0.0000,0.0000,0.0000
POST,/api/v1/adminbasicservice/adminbasic/trains,averageSpeed,body,20,14,3.6842,0.8524,0.9150
POST,/api/v1/adminbasicservice/adminbasic/trains,confortClass,body,20,15,3.7842,0.8756,0.9200
POST,/api/v1/adminbasicservice/adminbasic/trains,economyClass,body,20,11,3.2842,0.7599,0.8850
POST,/api/v1/adminbasicservice/adminbasic/trains,id,body,4,2,1.0000,0.5000,0.5000
POST,/api/v1/adminorderservice/adminorder,accountId,body,2,1,0.0000,0.0000,0.0000
POST,/api/v1/adminorderservice/adminorder,boughtDate,body,5,2,0.7219,0.3109,0.3200
POST,/api/v1/adminorderservice/adminorder,coachNumber,body,20,12,3.4464,0.7974,0.9000
POST,/api/v1/adminorderservice/adminorder,contactsDocumentNumber,body,2,2,1.0000,1.0000,0.5000
POST,/api/v1/adminorderservice/adminorder,contactsName,body,8,3,1.5000,0.5000,0.6250
POST,/api/v1/adminorderservice/adminorder,differenceMoney,body,1,1,0.0000,,0.0000
POST,/api/v1/adminorderservice/adminorder,documentType,body,20,11,3.2710,0.7568,0.8850
POST,/api/v1/adminorderservice/adminorder,from,body,3,1,0.0000,0.0000,0.0000
POST,/api/v1/adminorderservice/adminorder,id,body,2,2,1.0000,1.0000,0.5000
POST,/api/v1/adminorderservice/adminorder,price,body,5,3,1.5219,0.6555,0.6400
POST,/api/v1/adminorderservice/adminorder,seatClass,body,20,13,3.4842,0.8062,0.8950
POST,/api/v1/adminorderservice/adminorder,seatNumber,body,6,3,1.4591,0.5645,0.6111
POST,/api/v1/adminorderservice/adminorder,status,body,20,10,3.1037,0.7181,0.8650
POST,/api/v1/adminorderservice/adminorder,to,body,5,3,1.3710,0.5904,0.5600
