http_method,path,parameter,location,total,classes_total,classes_covered,epc,missing_classes
POST,/api/v1/adminbasicservice/adminbasic/stations,id,body,2,4,2,0.5000,empty|long
POST,/api/v1/adminbasicservice/adminbasic/stations,name,body,2,4,1,0.2500,empty|medium|long
POST,/api/v1/adminbasicservice/adminbasic/stations,stayTime,body,2,3,1,0.3333,zero|negative
POST,/api/v1/adminbasicservice/adminbasic/trains,averageSpeed,body,20,3,2,0.6667,negative
POST,/api/v1/adminbasicservice/adminbasic/trains,confortClass,body,20,3,2,0.6667,negative
POST,/api/v1/adminbasicservice/adminbasic/trains,economyClass,body,20,3,1,0.3333,zero|negative
POST,/api/v1/adminbasicservice/adminbasic/trains,id,body,4,4,1,0.2500,empty|medium|long
POST,/api/v1/adminorderservice/adminorder,accountId,body,2,4,1,0.2500,empty|medium|long
POST,/api/v1/adminorderservice/adminorder,boughtDate,body,5,4,1,0.2500,empty|medium|long
POST,/api/v1/adminorderservice/adminorder,coachNumber,body,20,3,1,0.3333,zero|negative
POST,/api/v1/adminorderservice/adminorder,contactsDocumentNumber,body,2,4,1,0.2500,empty|medium|long
POST,/api/v1/adminorderservice/adminorder,contactsName,body,8,4,1,0.2500,empty|medium|long
POST,/api/v1/adminorderservice/adminorder,differenceMoney,body,1,4,1,0.2500,empty|medium|long
POST,/api/v1/adminorderservice/adminorder,documentType,body,20,3,2,0.6667,negative
POST,/api/v1/adminorderservice/adminorder,from,body,3,4,1,0.2500,empty|short|long
POST,/api/v1/adminorderservice/adminorder,id,body,2,4,1,0.2500,empty|medium|long
POST,/api/v1/adminorderservice/adminorder,price,body,5,4,1,0.2500,empty|medium|long
POST,/api/v1/adminorderservice/adminorder,seatClass,body,20,3,2,0.6667,negative
POST,/api/v1/adminorderservice/adminorder,seatNumber,body,6,4,2,0.5000,empty|long
POST,/api/v1/adminorderservice/adminorder,status,body,20,3,2,0.6667,negative
POST,/api/v1/adminorderservice/adminorder,to,body,5,4,1,0.2500,empty|medium|long
POST,/api/v1/adminorderservice/adminorder,trainNumber,body,6,4,1,0.2500,empty|medium|long
POST,/api/v1/adminorderservice/adminorder,travelDate,body,2,4,1,0.2500,empty|medium|long
POST,/api/v1/adminorderservice/adminorder,travelTime,body,5,4,1,0.2500,empty|medium|long
POST,/api/v1/adminrouteservice/adminroute,distanceList,body,15,4,1,0.2500,empty|medium|long
POST,/api/v1/adminrouteservice/adminroute,endStation,body,15,4,1,0.2500,empty|medium|long
POST,/api/v1/adminrouteservice/adminroute,id,body,15,4,2,0.5000,empty|long
POST,/api/v1/adminrouteservice/adminroute,loginId,body,15,4,1,0.2500,empty|medium|long
POST,/api/v1/adminrouteservice/adminroute,startStation,body,15,4,1,0.2500,empty|medium|long
POST,/api/v1/adminrouteservice/adminroute,stationList,body,15,4,1,0.2500,empty|medium|long
POST,/api/v1/orderOtherService/orderOther/refresh,boughtDateEnd,body,1,4,1,0.2500,empty|medium|long
POST,/api/v1/orderOtherService/orderOther/refresh,boughtDateStart,body,2,4,1,0.2500,empty|medium|long
POST,/api/v1/orderOtherService/orderOther/refresh,enableBoughtDateQuery,body,20,2,2,1.0000,
POST,/api/v1/orderOtherService/orderOther/refresh,enableStateQuery,body,20,2,2,1.0000,
POST,/api/v1/orderOtherService/orderOther/refresh,enableTravelDateQuery,body,20,2,2,1.0000,
POST,/api/v1/orderOtherService/orderOther/refresh,loginId,body,2,4,1,0.2500,empty|medium|long
POST,/api/v1/orderOtherService/orderOther/refresh,state,body,20,3,2,0.6667,negative
POST,/api/v1/orderOtherService/orderOther/refresh,travelDateEnd,body,6,4,1,0.2500,empty|medium|long
POST,/api/v1/orderOtherService/orderOther/refresh,travelDateStart,body,3,4,1,0.2500,empty|medium|long
POST,/api/v1/travel2service/trips/left,departureTime,body,3,3,1,0.3333,empty|format_conforming
POST,/api/v1/travel2service/trips/left,endPlace,body,2,4,1,0.2500,empty|medium|long
POST,/api/v1/travel2service/trips/left,startPlace,body,1,4,1,0.2500,empty|medium|long
POST,/api/v1/travelplanservice/travelPlan/cheapest,departureTime,body,7,3,1,0.3333,empty|format_conforming
POST,/api/v1/travelplanservice/travelPlan/cheapest,endPlace,body,7,4,1,0.2500,empty|medium|long
POST,/api/v1/travelplanservice/travelPlan/cheapest,startPlace,body,7,4,1,0.2500,empty|medium|long
POST,/api/v1/travelservice/trips/left,departureTime,body,1,3,1,0.3333,empty|format_conforming
POST,/api/v1/travelservice/trips/left,endPlace,body,1,4,1,0.2500,empty|medium|long
POST,/api/v1/travelservice/trips/left,startPlace,body,3,4,1,0.2500,empty|medium|long
PUT,/api/v1/adminbasicservice/adminbasic/stations,id,body,2,4,2,0.5000,empty|long
PUT,/api/v1/adminbasicservice/adminbasic/stations,name,body,2,4,1,0.2500,empty|medium|long
PUT,/api/v1/adminbasicservice/adminbasic/stations,stayTime,body,2,3,1,0.3333,zero|negative
PUT,/api/v1/adminbasicservice/adminbasic/trains,averageSpeed,body,4,3,1,0.3333,zero|negative
PUT,/api/v1/adminbasicservice/adminbasic/trains,confortClass,body,4,3,1,0.3333,zero|negative
PUT,/api/v1/adminbasicservice/adminbasic/trains,economyClass,body,4,3,1,0.3333,zero|negative
PUT,/api/v1/adminbasicservice/adminbasic/trains,id,body,4,4,2,0.5000,empty|long
PUT,/api/v1/adminbasicservice/adminbasic/trains,name,body,4,4,1,0.2500,empty|medium|long
PUT,/api/v1/consignservice/consigns,accountId,body,20,4,1,0.2500,empty|medium|long
PUT,/api/v1/consignservice/consigns,consignee,body,20,4,1,0.2500,empty|medium|long
PUT,/api/v1/consignservice/consigns,from,body,20,4,2,0.5000,empty|long
PUT,/api/v1/consignservice/consigns,handleDate,body,20,4,1,0.2500,empty|medium|long
PUT,/api/v1/consignservice/consigns,id,body,20,4,2,0.5000,empty|long
PUT,/api/v1/consignservice/consigns,orderId,body,20,4,1,0.2500,empty|medium|long
PUT,/api/v1/consignservice/consigns,phone,body,20,4,1,0.2500,empty|medium|long
PUT,/api/v1/consignservice/consigns,targetDate,body,20,4,1,0.2500,empty|medium|long
PUT,/api/v1/consignservice/consigns,to,body,20,4,1,0.2500,empty|medium|long
PUT,/api/v1/consignservice/consigns,weight,body,20,4,1,0.2500,zero|positive|negative
PUT,/api/v1/consignservice/consigns,within,body,20,2,2,1.0000,
