trace_id,span_id,service,operation,source_field,value
85e8781fb5a59b55364f67b2292c6e34,9073762ed348d5bd,ts-gateway-service,POST,http.url,12032
804acb62eac00c5d8fb1aff7aa56840f,9f2537138b8d51dc,ts-gateway-service,POST,http.url,12032
d968bf550b2698ee71d6490b5df4c2ad,3c58ca82be16fa59,ts-gateway-service,POST,http.url,12031
3bd2bd78985f5cd2f58aeeb6005923a9,1c8191cf2f0e76a0,ts-gateway-service,POST,http.url,16113
b837d15c066d97356600c4cf09a5d710,ff8327ad14c6564a,ts-gateway-service,GET,http.url,12342
6c44d90ad4776541b19f3d2784c71b78,6067f584b1a09470,ts-admin-route-service,GET,http.url,11178
6c44d90ad4776541b19f3d2784c71b78,a37e685de03ab5c7,ts-gateway-service,GET,http.url,16113
99084831fbd26e00baece831b701076e,6e53d4741b16c352,ts-gateway-service,GET,http.url,14567
fee91542626e5e104bb65d55827d9088,f3b01699c5ec1b25,ts-gateway-service,POST,http.url,12032
12431e26e6780c37e31afee9165bb3d9,a21961580028d80b,ts-order-service,GET /api/v1/orderservice/order/{orderId},http.target,47e2a130-7462-4e5b-b549-5ff8f7a4a17f
12431e26e6780c37e31afee9165bb3d9,9b8153e54aefde3f,ts-order-other-service,GET /api/v1/orderOtherService/orderOther/{orderId},http.target,47e2a130-7462-4e5b-b549-5ff8f7a4a17f
12431e26e6780c37e31afee9165bb3d9,5b5aa9e11280477a,ts-execute-service,GET /api/v1/executeservice/execute/collected/{orderId},http.target,47e2a130-7462-4e5b-b549-5ff8f7a4a17f
12431e26e6780c37e31afee9165bb3d9,cace97c37a1e9765,ts-execute-service,GET,http.url,47e2a130-7462-4e5b-b549-5ff8f7a4a17f
12431e26e6780c37e31afee9165bb3d9,cace97c37a1e9765,ts-execute-service,GET,http.url,12031
12431e26e6780c37e31afee9165bb3d9,cd3f97d8927d076c,ts-execute-service,GET,http.url,47e2a130-7462-4e5b-b549-5ff8f7a4a17f
12431e26e6780c37e31afee9165bb3d9,cd3f97d8927d076c,ts-execute-service,GET,http.url,12032
12431e26e6780c37e31afee9165bb3d9,fc5f9fc622a7a991,ts-gateway-service,GET,http.url,12386
