scenario,test_method,test_kind,step_idx,http_method,path,parameter,stem,value,provenance,classification
Flow_Scenario_1,test_positive_flow_S1_v1,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,support_agent,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v2,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,testuser01,SMART_FETCH,smart_fetch
Flow_Scenario_1,test_positive_flow_S1_v3,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,guest,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v4,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,testuser1,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v5,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,customer123,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v6,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,testuser1,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v7,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,manager01,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v8,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,demo_user,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v9,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,testuser01,SMART_FETCH,smart_fetch
Flow_Scenario_1,test_positive_flow_S1_v10,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,customer123,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v11,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,guest,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v12,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,customer123,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v13,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,admin,SHARED_POOL_DRAW,shared_pool_draw
Flow_Scenario_1,test_positive_flow_S1_v14,positive,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,operator_5,SHARED_POOL_DRAW,shared_pool_draw
