scenario,test_method,step_idx,http_method,path,parameter,stem,value,resolvable
Flow_Scenario_1,test_positive_flow_S1_v1,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,support_agent,false
Flow_Scenario_1,test_positive_flow_S1_v2,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,testuser01,false
Flow_Scenario_1,test_positive_flow_S1_v3,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,guest,false
Flow_Scenario_1,test_positive_flow_S1_v4,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,testuser1,false
Flow_Scenario_1,test_positive_flow_S1_v5,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,customer123,false
Flow_Scenario_1,test_positive_flow_S1_v6,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,testuser1,false
Flow_Scenario_1,test_positive_flow_S1_v7,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,manager01,false
Flow_Scenario_1,test_positive_flow_S1_v8,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,demo_user,false
Flow_Scenario_1,test_positive_flow_S1_v9,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,testuser01,false
Flow_Scenario_1,test_positive_flow_S1_v10,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,customer123,false
Flow_Scenario_1,test_positive_flow_S1_v11,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,guest,false
Flow_Scenario_1,test_positive_flow_S1_v12,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,customer123,false
Flow_Scenario_1,test_positive_flow_S1_v13,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,admin,false
Flow_Scenario_1,test_positive_flow_S1_v14,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,operator_5,false
Flow_Scenario_1,test_positive_flow_S1_v15,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,customer123,false
Flow_Scenario_1,test_positive_flow_S1_v16,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,qa_tester,false
Flow_Scenario_1,test_positive_flow_S1_v17,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,qa_tester,false
Flow_Scenario_1,test_positive_flow_S1_v18,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,dev_user,false
Flow_Scenario_1,test_positive_flow_S1_v19,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,support_agent,false
Flow_Scenario_1,test_positive_flow_S1_v20,2,POST,/api/v1/orderOtherService/orderOther/refresh,loginId,login,support_agent,false
Flow_Scenario_1703,test_positive_flow_S1703_v1,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,8,false
Flow_Scenario_1703,test_positive_flow_S1703_v2,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,a1b2c3d4-e5f6-7890-abcd-ef1234567890,false
Flow_Scenario_1703,test_positive_flow_S1703_v3,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-123,false
Flow_Scenario_1703,test_positive_flow_S1703_v4,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,1,false
Flow_Scenario_1703,test_positive_flow_S1703_v5,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,1,false
Flow_Scenario_1703,test_positive_flow_S1703_v6,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing_station_id,false
Flow_Scenario_1703,test_positive_flow_S1703_v7,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing_station_id_here,false
Flow_Scenario_1703,test_positive_flow_S1703_v8,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-here,false
Flow_Scenario_1703,test_positive_flow_S1703_v9,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-here,false
Flow_Scenario_1703,test_positive_flow_S1703_v11,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,084837,false
Flow_Scenario_1703,test_positive_flow_S1703_v12,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,S1703,false
Flow_Scenario_1703,test_positive_flow_S1703_v13,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-from-db,false
Flow_Scenario_1703,test_positive_flow_S1703_v14,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,92708982-77af-4318-be25-57ccb0ff69ad,false
Flow_Scenario_1703,test_positive_flow_S1703_v15,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,5,false
Flow_Scenario_1703,test_positive_flow_S1703_v16,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,12,false
Flow_Scenario_1703,test_positive_flow_S1703_v17,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,1,false
Flow_Scenario_1703,test_positive_flow_S1703_v18,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,aefcef3f-3f42-46e8-afd7-6cb2a928bd3d,false
Flow_Scenario_1703,test_positive_flow_S1703_v19,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing_station_id_here,false
Flow_Scenario_1703,test_positive_flow_S1703_v20,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing_station_id_123,false
Flow_Scenario_1703,test_positive_flow_S1703_v21,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,1,false
Flow_Scenario_1703,test_positive_flow_S1703_v25,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,084837,false
Flow_Scenario_1703,test_positive_flow_S1703_v26,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,20eb7122-3a11-423f-b10a-be0dc5bce7db,false
Flow_Scenario_1703,test_positive_flow_S1703_v27,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-here,false
Flow_Scenario_1703,test_positive_flow_S1703_v28,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,aefcef3f-3f42-46e8-afd7-6cb2a928bd3d,false
Flow_Scenario_1703,test_positive_flow_S1703_v30,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,a3f256c1-0e43-4f7d-9c21-121bf258101f,false
Flow_Scenario_1703,test_positive_flow_S1703_v33,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id,false
Flow_Scenario_1703,test_positive_flow_S1703_v35,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id,false
Flow_Scenario_1703,test_positive_flow_S1703_v37,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,aefcef3f-3f42-46e8-afd7-6cb2a928bd3d,false
Flow_Scenario_1703,test_positive_flow_S1703_v39,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,d693a2c5-ef87-4a3c-bef8-600b43f62c68,false
Flow_Scenario_1703,test_positive_flow_S1703_v40,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-001,false
Flow_Scenario_1703,test_positive_flow_S1703_v42,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-from-system,false
Flow_Scenario_1703,test_positive_flow_S1703_v48,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,92708982-77af-4318-be25-57ccb0ff69ad,false
Flow_Scenario_1703,test_positive_flow_S1703_v58,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,084837,false
Flow_Scenario_1703,test_positive_flow_S1703_v62,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,d693a2c5-ef87-4a3c-bef8-600b43f62c68,false
Flow_Scenario_1703,test_positive_flow_S1703_v63,2,PUT,/api/v1/adminbasicservice/adminbasic/stations,id,,existing-station-id-123,false
