log_file,request_id,timestamp,model,prompt_category,parameter,type,format,location,required,enum,minimum,maximum,min_length,max_length,pattern,response_index,value
llm-communication-20260505-225616.log,1,2026-05-05 22:56:19.466,deepseek-chat,extraction,boughtDateEnd,string,,,,,,,,,,0,
llm-communication-20260505-225616.log,2,2026-05-05 22:59:13.039,deepseek-chat,simple_gen,boughtDateEnd,string,,,,,,,,,,0,2024-12-31
llm-communication-20260505-225616.log,3,2026-05-05 22:59:48.029,deepseek-chat,bulk_extract,boughtDateEnd,string,,,,,,,,,,0,
llm-communication-20260505-225616.log,4,2026-05-05 22:59:59.957,deepseek-chat,diverse_gen,boughtDateEnd,string,,,,,,,,,,0,2025-01-15
llm-communication-20260505-225616.log,4,2026-05-05 22:59:59.957,deepseek-chat,diverse_gen,boughtDateEnd,string,,,,,,,,,,1,2024-11-30
llm-communication-20260505-225616.log,4,2026-05-05 22:59:59.957,deepseek-chat,diverse_gen,boughtDateEnd,string,,,,,,,,,,2,2025-03-20
llm-communication-20260505-225616.log,4,2026-05-05 22:59:59.957,deepseek-chat,diverse_gen,boughtDateEnd,string,,,,,,,,,,3,2024-08-15
llm-communication-20260505-225616.log,4,2026-05-05 22:59:59.957,deepseek-chat,diverse_gen,boughtDateEnd,string,,,,,,,,,,4,2025-06-01
llm-communication-20260505-225616.log,4,2026-05-05 22:59:59.957,deepseek-chat,diverse_gen,boughtDateEnd,string,,,,,,,,,,5,2024-09-10
llm-communication-20260505-225616.log,4,2026-05-05 22:59:59.957,deepseek-chat,diverse_gen,boughtDateEnd,string,,,,,,,,,,6,2025-05-25
llm-communication-20260505-225616.log,4,2026-05-05 22:59:59.957,deepseek-chat,diverse_gen,boughtDateEnd,string,,,,,,,,,,7,2024-10-05
llm-communication-20260505-225616.log,4,2026-05-05 22:59:59.957,deepseek-chat,diverse_gen,boughtDateEnd,string,,,,,,,,,,8,2025-02-28
llm-communication-20260505-225616.log,5,2026-05-05 23:00:04.899,deepseek-chat,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,0,2026-05-06
llm-communication-20260505-225616.log,5,2026-05-05 23:00:04.899,deepseek-chat,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,1,2026-05-12
llm-communication-20260505-225616.log,5,2026-05-05 23:00:04.899,deepseek-chat,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,2,2026-05-18
llm-communication-20260505-225616.log,5,2026-05-05 23:00:04.899,deepseek-chat,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,3,2026-05-25
llm-communication-20260505-225616.log,5,2026-05-05 23:00:04.899,deepseek-chat,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,4,2026-06-01
llm-communication-20260505-225616.log,6,2026-05-05 23:00:07.218,deepseek-chat,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,0,2026-05-10
llm-communication-20260505-225616.log,6,2026-05-05 23:00:07.218,deepseek-chat,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,1,2026-05-15
llm-communication-20260505-225616.log,6,2026-05-05 23:00:07.218,deepseek-chat,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,2,2026-05-20
llm-communication-20260505-225616.log,6,2026-05-05 23:00:07.218,deepseek-chat,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,3,2026-05-25
llm-communication-20260505-225616.log,6,2026-05-05 23:00:07.218,deepseek-chat,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,4,2026-05-30
llm-communication-20260505-225616.log,6,2026-05-05 23:00:07.218,deepseek-chat,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,5,2026-06-01
llm-communication-20260505-225616.log,6,2026-05-05 23:00:07.218,deepseek-chat,positive_gen,boughtDateEnd,string,,formData,No,,,,,,,6,2026-06-04
llm-communication-20260505-225616.log,7,2026-05-05 23:00:10.031,deepseek-chat,extraction,boughtDateStart,string,,,,,,,,,,0,
llm-communication-20260505-225616.log,8,2026-05-05 23:00:11.518,deepseek-chat,simple_gen,boughtDateStart,string,,,,,,,,,,0,2023-08-15
llm-communication-20260505-225616.log,9,2026-05-05 23:00:12.813,deepseek-chat,bulk_extract,boughtDateStart,string,,,,,,,,,,0,
llm-communication-20260505-225616.log,10,2026-05-05 23:00:14.166,deepseek-chat,diverse_gen,boughtDateStart,string,,,,,,,,,,0,2023-08-16
llm-communication-20260505-225616.log,10,2026-05-05 23:00:14.166,deepseek-chat,diverse_gen,boughtDateStart,string,,,,,,,,,,1,2023-08-14
llm-communication-20260505-225616.log,10,2026-05-05 23:00:14.166,deepseek-chat,diverse_gen,boughtDateStart,string,,,,,,,,,,2,2023-07-15
llm-communication-20260505-225616.log,10,2026-05-05 23:00:14.166,deepseek-chat,diverse_gen,boughtDateStart,string,,,,,,,,,,3,2023-09-15
llm-communication-20260505-225616.log,10,2026-05-05 23:00:14.166,deepseek-chat,diverse_gen,boughtDateStart,string,,,,,,,,,,4,2022-08-15
llm-communication-20260505-225616.log,10,2026-05-05 23:00:14.166,deepseek-chat,diverse_gen,boughtDateStart,string,,,,,,,,,,5,2024-08-15
llm-communication-20260505-225616.log,10,2026-05-05 23:00:14.166,deepseek-chat,diverse_gen,boughtDateStart,string,,,,,,,,,,6,2023-08-01
llm-communication-20260505-225616.log,10,2026-05-05 23:00:14.166,deepseek-chat,diverse_gen,boughtDateStart,string,,,,,,,,,,7,2023-08-31
llm-communication-20260505-225616.log,10,2026-05-05 23:00:14.166,deepseek-chat,diverse_gen,boughtDateStart,string,,,,,,,,,,8,2023-06-15
llm-communication-20260505-225616.log,11,2026-05-05 23:00:16.293,deepseek-chat,positive_gen,boughtDateStart,string,,formData,No,,,,,,,0,2026-05-06
llm-communication-20260505-225616.log,11,2026-05-05 23:00:16.293,deepseek-chat,positive_gen,boughtDateStart,string,,formData,No,,,,,,,1,2026-05-10
llm-communication-20260505-225616.log,11,2026-05-05 23:00:16.293,deepseek-chat,positive_gen,boughtDateStart,string,,formData,No,,,,,,,2,2026-05-15
llm-communication-20260505-225616.log,11,2026-05-05 23:00:16.293,deepseek-chat,positive_gen,boughtDateStart,string,,formData,No,,,,,,,3,2026-05-20
llm-communication-20260505-225616.log,11,2026-05-05 23:00:16.293,deepseek-chat,positive_gen,boughtDateStart,string,,formData,No,,,,,,,4,2026-05-25
llm-communication-20260505-225616.log,12,2026-05-05 23:00:18.686,deepseek-chat,positive_gen,boughtDateStart,string,,formData,No,,,,,,,0,2026-05-06
llm-communication-20260505-225616.log,12,2026-05-05 23:00:18.686,deepseek-chat,positive_gen,boughtDateStart,string,,formData,No,,,,,,,1,2026-05-10
llm-communication-20260505-225616.log,12,2026-05-05 23:00:18.686,deepseek-chat,positive_gen,boughtDateStart,string,,formData,No,,,,,,,2,2026-05-15
llm-communication-20260505-225616.log,12,2026-05-05 23:00:18.686,deepseek-chat,positive_gen,boughtDateStart,string,,formData,No,,,,,,,3,2026-05-20
llm-communication-20260505-225616.log,12,2026-05-05 23:00:18.686,deepseek-chat,positive_gen,boughtDateStart,string,,formData,No,,,,,,,4,2026-05-25
llm-communication-20260505-225616.log,12,2026-05-05 23:00:18.686,deepseek-chat,positive_gen,boughtDateStart,string,,formData,No,,,,,,,5,2026-05-30
llm-communication-20260505-225616.log,12,2026-05-05 23:00:18.686,deepseek-chat,positive_gen,boughtDateStart,string,,formData,No,,,,,,,6,2026-06-04
llm-communication-20260505-225616.log,13,2026-05-05 23:00:21.029,deepseek-chat,positive_gen,enableBoughtDateQuery,boolean,,formData,No,,,,,,,0,true
llm-communication-20260505-225616.log,13,2026-05-05 23:00:21.029,deepseek-chat,positive_gen,enableBoughtDateQuery,boolean,,formData,No,,,,,,,1,false
llm-communication-20260505-225616.log,13,2026-05-05 23:00:21.029,deepseek-chat,positive_gen,enableBoughtDateQuery,boolean,,formData,No,,,,,,,2,true
