"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 09 00:15:41 CDT 2026","Sat May 09 00:15:50 CDT 2026","9402","ts-travel-plan-service","Flow_Scenario_276 | POST /api/v1/travelplanservice/travelPlan/cheapest","[Fault: POST__api_v1_travelplanservice_travelPlan_cheapest] SPECIAL_CHARACTERS (v140)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_276","test_negative_flow_S276_v140_fault_Root1_SPECIAL_CHARACTERS","test_negative_flow_S276_v140_fault_Root1_SPECIAL_CHARACTERS","Microservice test scenario with 1 steps."
"failed","Fri May 08 23:56:38 CDT 2026","Fri May 08 23:56:49 CDT 2026","11783","ts-travel-plan-service","Flow_Scenario_276 | POST /api/v1/travelplanservice/travelPlan/cheapest","[Valid] v7","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_276","test_positive_flow_S276_v7","test_positive_flow_S276_v7","Microservice test scenario with 1 steps."
"passed","Fri May 08 23:58:41 CDT 2026","Fri May 08 23:58:51 CDT 2026","9334","ts-travel-plan-service","Flow_Scenario_276 | POST /api/v1/travelplanservice/travelPlan/cheapest","[Fault: POST__api_v1_travelplanservice_travelPlan_cheapest] SPECIAL_CHARACTERS (v117)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_276","test_negative_flow_S276_v117_fault_Root1_SPECIAL_CHARACTERS","test_negative_flow_S276_v117_fault_Root1_SPECIAL_CHARACTERS","Microservice test scenario with 1 steps."
"passed","Sat May 09 00:56:19 CDT 2026","Sat May 09 00:56:31 CDT 2026","12342","ts-execute-service","Flow_Scenario_420 | GET /api/v1/executeservice/execute/execute/{orderId}","[Fault: GET__api_v1_executeservice_execute_execute__orderId_] SPECIAL_CHARACTERS (v71)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_420","test_negative_flow_S420_v71_fault_Root1_SPECIAL_CHARACTERS","test_negative_flow_S420_v71_fault_Root1_SPECIAL_CHARACTERS","Microservice test scenario with 1 steps."
"passed","Sat May 09 01:39:48 CDT 2026","Sat May 09 01:40:01 CDT 2026","13074","ts-admin-basic-info-service","Flow_Scenario_3 | POST /api/v1/adminbasicservice/adminbasic/trains","[Fault: POST__api_v1_adminbasicservice_adminbasic_trains] OVERFLOW (v111)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_3","test_negative_flow_S3_v111_fault_Root1_OVERFLOW","test_negative_flow_S3_v111_fault_Root1_OVERFLOW","Microservice test scenario with 1 steps."
"failed","Sat May 09 00:24:09 CDT 2026","Sat May 09 00:24:22 CDT 2026","12407","ts-admin-basic-info-service","Flow_Scenario_1040 | POST /api/v1/adminbasicservice/adminbasic/stations","[Valid] v61","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_1040","test_positive_flow_S1040_v61","test_positive_flow_S1040_v61","Microservice test scenario with 1 steps."
"failed","Fri May 08 23:52:04 CDT 2026","Fri May 08 23:52:09 CDT 2026","5051","ts-order-other-service","Flow_Scenario_475 | POST /api/v1/orderOtherService/orderOther/refresh","[Fault: POST__api_v1_orderOtherService_orderOther_refresh] SPECIAL_CHARACTERS (v194)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_475","test_negative_flow_S475_v194_fault_Root1_SPECIAL_CHARACTERS","test_negative_flow_S475_v194_fault_Root1_SPECIAL_CHARACTERS","Microservice test scenario with 1 steps."
"failed","Sat May 09 01:12:28 CDT 2026","Sat May 09 01:12:40 CDT 2026","12667","ts-consign-service","Flow_Scenario_894 | GET /api/v1/consignservice/consigns/order/{id}","[Valid] v20","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_894","test_positive_flow_S894_v20","test_positive_flow_S894_v20","Microservice test scenario with 1 steps."
"failed","Fri May 08 23:40:02 CDT 2026","Fri May 08 23:40:08 CDT 2026","5045","ts-order-other-service","Flow_Scenario_475 | POST /api/v1/orderOtherService/orderOther/refresh","[Fault: POST__api_v1_orderOtherService_orderOther_refresh] SPECIAL_CHARACTERS (v26)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_475","test_negative_flow_S475_v26_fault_Root1_SPECIAL_CHARACTERS","test_negative_flow_S475_v26_fault_Root1_SPECIAL_CHARACTERS","Microservice test scenario with 1 steps."
"passed","Sat May 09 02:05:36 CDT 2026","Sat May 09 02:05:49 CDT 2026","13007","ts-admin-basic-info-service","Flow_Scenario_3 | POST /api/v1/adminbasicservice/adminbasic/trains","[Fault: POST__api_v1_adminbasicservice_adminbasic_trains] SPECIAL_CHARACTERS (v163)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_3","test_negative_flow_S3_v163_fault_Root1_SPECIAL_CHARACTERS","test_negative_flow_S3_v163_fault_Root1_SPECIAL_CHARACTERS","Microservice test scenario with 1 steps."
